Date,Technique,Instructor,Class Type,Notes,Time (hours),Month,Type,Link,suggestedDate
"March 11, 2025",Submissions,Kieran,Regular Class,"Front headlock position.  We were mostly focused on using the Schultz choke and switch switching off to the anaconda.  Some nice details I picked up were making sure that Thumb  is in the Armpit and focusing on collapsing the arm with a gable grip before bringing Knee  to knee To initiate the roll.  Once they’re on their side using my knee to trap the arm, but also force their arm down into their neck.  At the end of class, I also did a single five minute round focused solely on guard passing.",1,March 2025,No-Gi,,March 2025
"March 8, 2025","Guard, Passing",Kieran,Regular Class,R guard. Using off-balancing to create entries into the legs or wrestle up.  I also did one hour of drilling with a focus on pressure passing.,2,March 2025,No-Gi,https://youtu.be/4LhVobiJwLM?si=wve3_q6pvtKNWydG,March 2025
"March 6, 2025",Guard,Kieran,Regular Class,R guard. Using off-balancing to create entries into the legs or wrestle up.,1.5,March 2025,No-Gi,https://youtu.be/4LhVobiJwLM?si=wve3_q6pvtKNWydG,March 2025
"March 4, 2025",Position,Kieran,Regular Class,Back takes from side control. My biggest take away was switching the seatbelt for a deep lat grip to bring the elbow in front of the body. And go for hand grips not wrist grips.,1.5,March 2025,No-Gi,,March 2025
"March 1, 2025",Guard,Kieran,"Drilling, Regular Class","Worked Rguard, off balance to single leg X or butterfly ashi for shotgun footlock. I also did an hour of drilling DLR with a focus on maintaining position and sweeping.",2,March 2025,No-Gi,,March 2025
"February 20, 2025",Passing,Kieran,Regular Class,"high tripod passing, entries from butterfly, the goal is to force half butterfly. I tried jozefs step over to mount with worked nicely.",1.5,Feb 2025,No-Gi,,Feb 2025
"February 18, 2025",Passing,Kieran,Regular Class,High tripod passing. Felt a little better working from half butterfly or knee cut position (essentially beating one leg rather than giving double butterfly hooks. The other detail I focussed on was keeping pressure with my underhook shoulder.,1.5,Feb 2025,No-Gi,,Feb 2025
"February 17, 2025",Passing,Kieran,Regular Class,High tripod passing workshop. I was having trouble with it and kept getting pushed away.,1.5,Feb 2025,No-Gi,https://youtu.be/e_oR4fSxd8g?si=cEvO-vkdDzxoW28N,Feb 2025
"February 15, 2025",Submissions,Kieran,"Drilling, Regular Class","shotgun footlock with options. If they turn away go on the belly down footlock, don’t let go of shotgun grip. If the come up to a knee, use the butterfly hook on your own calf to keep distance. Keeping their heel to your ribs is the key detail in all scenarios. I also did 1 hour of drilling after class, I was drilling side control escapes and dlr transitions.",2,Feb 2025,No-Gi,,Feb 2025
"February 13, 2025",Submissions,Kieran,Regular Class,Shotgun footlock. Get to shin on and keep elbow inside. Sweep from SLX or X guard. Hip escape with foot on the hip to get low on the foot. I seem to have trouble catching the foot properly.,1.5,Feb 2025,No-Gi,,Feb 2025
"February 4, 2025",,Shane,Regular Class,"Filter class. Some wrestling, positionals etc. No technique.",1,Feb 2025,No-Gi,,Feb 2025
"January 30, 2025","Control, Escapes, Submissions, Sweeps",Kieran,Regular Class,"Escaping chest to chest half guard by towards the head and framing on the hip to bring your leg in front and go to the shoulder crunch. Using a push pull to sweep if their head is towards yours, if their head is away, go for Choi bar.",1,Jan 2025,No-Gi,,Jan 2025
"January 28, 2025","Control, Escapes, Submissions, Sweeps",Kieran,Regular Class,"Escaping chest to chest half guard by towards the head and framing on the hip to bring your leg in front and go to the shoulder crunch. Using a push pull to sweep if their head is towards yours, if their head is away, go for Choi bar.",1.5,Jan 2025,No-Gi,,Jan 2025
"January 13, 2025","Guard, Sweeps",Kieran,Seminar,"Butterfly guard - Managing  Distance using Feet on knees, feet on hips and feet inside.  Using a combination of double unders or over unders or double overs for sweeps.",1.5,Jan 2025,Gi,,Jan 2025
"January 11, 2025",Wrestling,Kieran,Regular Class,Shooting a double leg with various takedown options. Knee tap and leg “sweep”.,1,Jan 2025,No-Gi,https://youtu.be/YHHMEF-Up4k?si=5apog1MHT727V3rK,Jan 2025
"January 9, 2025",Wrestling,Kieran,Regular Class,"Working from the back body lock. Keeping a long arm and short arm and putting weight into partners near foot. Look away to prevent over hook. Options: foot block, knee block, sweep, double leg.",1.5,Jan 2025,No-Gi,,Jan 2025
"January 7, 2025",Wrestling,Kieran,Regular Class,"Working from the back body lock. Keeping a long arm and short arm and putting weight into partners near foot. Look away to prevent over hook. Options: foot block, knee block, sweep, double leg.",1.5,Jan 2025,No-Gi,,Jan 2025
"January 4, 2025",Wrestling,Kieran,Regular Class,"Working from the back body lock. Keeping a long arm and short arm and putting weight into partners near foot. Look away to prevent over hook. Options: foot block, knee block, sweep, double leg.",1,Jan 2025,No-Gi,,Jan 2025
"December 19, 2024",,,Grading,2nd Stripe on purple belt,,Dec,Gi,,Dec
"December 12, 2024","Halfguard, Side control, closed guard",Jony,Regular Class,Positional rounds and sparring,1.5,Dec,No-Gi,,Dec
"December 10, 2024",Halfguard Passing,Kieran,Regular Class,Passing from half guard with the near side undertook. breaking them down if they come up to an elbow.,1.5,Dec,No-Gi,,Dec
"December 7, 2024","Headquarters, Passing",Tommy Langaker,Regular Class,"Headquarters passing. using a straight leg with lots of hip pressure. Aim to pin hand go through passing options (knee cut, smash pass, jump through to mount or back kick passed the leg)",1.5,Dec,No-Gi,,Dec
"December 5, 2024","Headquarters, Quarter guard",Tommy Langaker,Regular Class,"Qtr guard, bump forward, underhook and cup knee, scoop grip on neck, knee in chest and step up with throw by for the back. Headquarters, sprawl left leg back, hip in and be heavy, smash, knee cut or step over into mount",2.5,Dec,No-Gi,,Dec
"November 16, 2024","Anaconda, Front Headlock, Wrestling",Kieran,Regular Class,Snap down to front headlock and anaconda choke ,2,November ,No-Gi,https://youtu.be/EISKp0ADPTw?si=7RBvIpPkUVruZMXU,November
"November 14, 2024","Anaconda, Front Headlock, Wrestling",Kieran,Regular Class,Front head lock. Using uchi mata to break posture and get the front headlock. Anaconda choke from FH,1.5,November ,No-Gi,,November
"November 12, 2024","Front Headlock, Wrestling",Kieran,Regular Class,Front headlock from standing. Keep down block until grips are made. Snap down to front headlock,1,November,No-Gi,,November
"November 2, 2024","Backside 5050, False reap, Front Headlock, RDLR, Snap Down, Wrestling",Kieran,Regular Class,Back take from front headlock and down blocking. Drilling leglock entries from dlr and rdlr,2,November ,No-Gi,,November
"October 29, 2024",Back Control,Kieran,Regular Class,Hand fighting from the back. Drilling leglock entries.,1.5,October,No-Gi,,October
"October 24, 2024",Passing,Kieran,Regular Class,Knee cut to mount and saddle,1,October,No-Gi,,October
"October 22, 2024","Control, Mount",Kieran,Regular Class,Maintaining Mount and defending the kipping escape,1.5,October,No-Gi,,October
"October 19, 2024","Control, Mount, Side control",Kieran,Regular Class,"Reverse side control to mount, taking the back from mount and mount escape counter into leg pin.",1,October,No-Gi,https://youtu.be/iuYgHZZqq5I?si=FVddzR1cHYLG_Cqi,October
"October 17, 2024","Control, Mount",Kieran,Regular Class,Taking the back from Mount using “twisted mount”,1,October,No-Gi,,October
"October 15, 2024","Control, Mount, Side control",Kieran,Regular Class,Getting to Mount from side control  early octopus counter + 5 rounds,1.5,October ,No-Gi,,October
"October 12, 2024","Mount, Wrestling",Kieran,Regular Class,"Wrestling, knee tap, underhook entry and mount attacks",1,October ,No-Gi,https://youtu.be/2byrC43nX48?si=2OeQIiBo14acUDNH,October
"October 9, 2024","Anaconda, Single Leg, Submissions, Turtle, Wrestling",Max Lally,Seminar,"Creating angles and entering single leg, double leg or cradle. Flattening people out from turtle and anaconda details.",2,October ,No-Gi,,October
"October 5, 2024",RDLR,Marie,Regular Class,"Options from RDLR , wrestle up, sweep and invert.",1,October ,No-Gi,,October
"September 22, 2024","Collar Tie, Snap Down, Underhook, Wrestling",Izaak Michell,Seminar,offensive wrestling ,1,Sept,No-Gi,,Sept
"September 22, 2024","Guard, Quarter guard",Tommy Langaker,Seminar,Quarter guard,2,Sept,No-Gi,,Sept
"September 13, 2024","Outside passing, Passing",Izaak Michell,Seminar,Outside passing,2,Sept,No-Gi,,Sept
"September 13, 2024","Headquarters, Passing",Tommy Langaker,Seminar,Headquarters passing using the sprawl pass and the knee cut ,2,Sept,No-Gi,,Sept
"September 12, 2024",Leg Locks,Izaak Michell,Seminar,Leglocks,2,September ,No-Gi,,September
"September 12, 2024","Guard, Seated Guard",Tommy Langaker,Seminar,Seated guard attacking and retention,2,September ,No-Gi,,September
"September 10, 2024",Wrestling,Izaak Michell,Seminar,"Wrestling, defending collar ties, double unders and single leg",2,September ,No-Gi,,September
"September 10, 2024","Back escapes, Escapes",Tommy Langaker,Seminar,Back escapes,2,September ,No-Gi,,September
"September 4, 2024","Outside passing, Passing",Izaak Michell,Seminar,Outside passing,2,September ,No-Gi,,September
"September 4, 2024","Headquarters, Passing",Tommy Langaker,Seminar,Headquarters passing,2,September ,No-Gi,,September
"August 29, 2024","Control, North South, Outside passing, Passing, Turtle",Kieran,Regular Class,"1 min positional rounds. (Outside pass, guard retention, north south, turtle)",1.5,August,No-Gi,,August
"August 22, 2024","Outside passing, Passing",Kieran,Regular Class,Outside passing on a seated opponent. Had a few rounds but didn’t do very well at all.,1.5,August,No-Gi,,August
"August 20, 2024","Guard, Wrestling",Kieran,Regular Class,Wrestle up from open guard.,1.5,August ,No-Gi,,August
"August 13, 2024","Control, Guard, Halfguard, Octopus",Kieran,Regular Class,Octopus guard from bottom half,1.5,August,No-Gi,,August
"August 10, 2024",,,Open Mat,"Rounds with Liam, felt good all round.",1,August,No-Gi,,August
"August 10, 2024","Arm Triangle / Head and arm, Control, Mount, Submissions",Kieran OD,Regular Class,"Attacking from Mount. Head and arm,  gift wrap Ezekiel",1,August,No-Gi,,August
"August 8, 2024","Footlock, Submissions",Kieran,Regular Class,Shotgun footlock. Using a butterfly hook and foot on the same hip to keep distance. ,1.5,August,No-Gi,,August
"August 6, 2024","Footlock, Submissions",Kieran,Regular Class,Shotgun footlock. Using a butterfly hook and foot on the same hip to keep distance.  Very tough class with 10 min rounds and 5 x 2 min wrestling rounds.,1.5,August,No-Gi,,August
"August 3, 2024",,,Grading,Grading: got my first stripe on my purple belt.,,August ,,,August
"August 1, 2024","Back Control, Control, Crucifix, North South",Kieran,Regular Class,Getting to the back and crucifix from north south. Using the kimura/gift wrap,1.5,August ,No-Gi,,August
"July 30, 2024","Outside passing, Passing",Kieran,Regular Class,"Outside passing to north south, taking double underhooks (outside) and taking the back or the NS Choke",1,July,No-Gi,,July
"July 14, 2024","Control, Darce, Front Headlock, Guillotine, Submissions",Tom Halpin,Seminar,Attacking  High wrist guillotine and darce from the front headlock. Go for  High wrist when you have The chinstrap and Go for the darce  From double behind the arms grip.,2,July,No-Gi,,July
"July 11, 2024","Outside passing, Passing",,"Drilling, Open Mat",Worked on passing. Keeping people between seated and supine and trying to create angles. Stepping into the half drag.,1,July,No-Gi,,July
"July 9, 2024","Control, Turtle",Kieran OD,Regular Class,"Attacking turtle. Double unders to open elbow, option for rnc from turtle or crucifix ",1.5,July,No-Gi,,July
"June 29, 2024","Guard, RDLR",,Drilling,Drilling: Working on inverting and sweeping from RDLR.,1,June,No-Gi,,June
"June 29, 2024","Guard, Octopus",Shane,Regular Class,"Octopus guard intro. Entries from closed guard, side control and half guard.",1,June,No-Gi,,June
"June 28, 2024","Back escapes, Escapes, Guard, Guillotine, Single Leg X, Submissions",Kieran,"Drilling, Regular Class",Guillotine from front headlock and drilling SLX and back defence,1.5,June,No-Gi,,June
"June 25, 2024","Escapes, Headquarters, Saddle",Kieran,"Drilling, Regular Class",Leglock escapes. Looking for hamstring exposure. Drilling headquarters passing.,1.5,June,No-Gi,,June
"June 25, 2024","Back escapes, Escapes",Dean,Regular Class,"Back escapes. Turtle, hooks, and body triangle.",1,June,Gi,,June
"June 22, 2024","Control, North South, Outside passing, Passing",Kieran,Regular Class,Outside passing drilling focused on camping and going to north south for the north south choke.,1,June ,No-Gi,,June
"June 15, 2024","Rear naked choke, Submissions",Andrew,Regular Class,Attacking from the back,1,June,Gi,,June
"June 13, 2024","Choi bar, Submissions",Kieran,Regular Class,Choi bar when defending the outside pass,1,June,No-Gi,,June
"June 11, 2024","Bodylock Defence, Control, Escapes, Guard, Shoulder Crunch, Single Leg X",Kieran,Regular Class,"Bodylock defence. Pulling elbow and framing, rocking chair motion and coming up on one hip. Option for shoulder crunch or c-grips into the armpits to enter the legs",1,June,No-Gi,,June
"June 8, 2024","Snap Down, Underhook, Wrestling",Andrew,Regular Class,Getting to the underhook from a thumb down wrist grip and collar tie,1,June,No-Gi,,June
"June 6, 2024","Footlock, Guard, Heelhook, Single Leg X, Submissions",Kieran,Regular Class,Shotgun footlock and heelhook from single leg X ,1,June,No-Gi,,June
"June 4, 2024","Butterfly Half, Footlock, Guard, Submissions",Kieran,Regular Class,Shotgun footlock from half butterfly,1,June,No-Gi,,June
"May 16, 2024","Anaconda, Collar Tie, Control, Front Headlock, Snap Down, Submissions",Kieran,"Drilling, Regular Class","Attacking from Collar tie - Snap down, front headlock and anaconda. I also spent 30 minutes drilling the spider web position at the end of class.",1.5,May,No-Gi,,May
"May 14, 2024","Collar Tie, Snap Down, Wrestling",Kieran,Regular Class,"Attack from the Collar tie, snap down and slide by",1,May,No-Gi,,May
"May 9, 2024","Escapes, Single Leg Defence, Wrestling",Jony,Regular Class,Defending the single leg - Kimura trap sweep and step around to high-crotch.,1,May,No-Gi,,May
"May 7, 2024",Passing,,Open Mat,Mostly worked passing - dealing with shoulder injury,1,May,No-Gi,,May
"May 4, 2024","Collar Tie, Control, Front Headlock, Single Leg, Wrestling",Shane,Regular Class,Attacking from the collar tie: front headlock and blast single,1,May,No-Gi,,May
"May 2, 2024","Halfguard Passing, Passing",Kieran,Regular Class,"Dealing with low knee shield, taking overback grip and crunching partner",1,May,No-Gi,,May
"April 30, 2024","Halfguard Passing, Passing",Kieran,Regular Class,Dealing with the low knee shield,1,April,No-Gi,,April
"April 27, 2024","Collar Tie, Wrestling",Shane,Regular Class,Slide by from collar tie,1,April,No-Gi,,April
"April 23, 2024","Single Leg, Wrestling",Shane,Regular Class,Take downs from the single leg,1,April,No-Gi,,April
"April 20, 2024","Deep Half, Sweeps",Kieran OD,Regular Class,Deep half entries from half guard and coming up on top,1,April,No-Gi,,April
"April 16, 2024","Shoulder Crunch, Sweeps",Kieran,Regular Class,Sweeps from Shoulder Crunch,1,April,No-Gi,,April
"April 13, 2024","Control, Headquarters, Passing, Saddle Entry",Jony,Regular Class,Headquarters passing and rolling back take from saddle,1,April,No-Gi,,April
"April 11, 2024","Escapes, Guillotine Defence",Kieran,Regular Class,Defending the guillotine from the front headlock.,1,April,No-Gi,,April
"April 9, 2024","Escapes, Passing, Saddle Defence",Kieran,Regular Class,Coming up and passing from saddle,1,April,No-Gi,,April
"April 6, 2024","Butterfly Half, Escapes, Guard, Side Control Escape",Andrew,"Drilling, Regular Class",Side control ghost escape + 1 hour of drilling butterfly half to SLX,2,April,No-Gi,,April
"March 21, 2024","Outside passing, Passing",Kieran,Regular Class,Outside passing to north south,1.5,March,No-Gi,,March
"March 19, 2024","Outside passing, Passing",Kieran,Regular Class,Outside passing to north south,1.5,March,No-Gi,,March
,,,,,,August 2025,,,August 2025
